"","CountryName","finalrank_comm"
"1","Afghanistan",176.5
"2","Albania",97
"3","Algeria",134
"4","Andorra",76.5
"5","Angola",161
"6","Antigua and Barbuda",29
"7","Argentina",35
"8","Armenia",94
"9","Aruba",23
"10","Australia",55
"11","Austria",6
"12","Azerbaijan",89
"13","Bahamas",99
"14","Bahrain",9
"15","Bangladesh",176.5
"16","Barbados",50
"17","Belarus",83.5
"18","Belgium",47.5
"19","Belize",146.5
"20","Benin",164.5
"21","Bermuda",13
"22","Bhutan",143
"23","Bolivia",128
"24","Bosnia and Herzegovina",111
"25","Botswana",102
"26","Brazil",63.5
"27","Brunei Darussalam",69.5
"28","Bulgaria",54
"29","Burkina Faso",180.5
"30","Burundi",204
"31","Cabo Verde",124
"32","Cambodia",131
"33","Cameroon",176.5
"34","Canada",88
"35","Caribbean small states",100
"36","Cayman Islands",7.5
"37","Central African Republic",200.5
"38","Chad",199
"39","Chile",47.5
"40","China",125
"41","Colombia",106
"42","Comoros",186
"43","Costa Rica",92
"44","Cote d'Ivoire",154.5
"45","Croatia",62
"46","Cuba",174
"47","Curacao",4
"48","Cyprus",90.5
"49","Czech Republic",32
"50","Democratic Republic of Congo",198
"51","Denmark",16
"52","Djibouti",189
"53","Dominica",45.5
"54","Dominican Republic",121
"55","Ecuador",116
"56","Egypt, Arab Rep.",114
"57","El Salvador",90.5
"58","Equatorial Guinea",162.5
"59","Eritrea",206.5
"60","Estonia",10
"61","Ethiopia",203
"62","Faeroe Islands",24
"63","Fiji",127
"64","Finland",1
"65","France",68
"66","French Polynesia",112.5
"67","Gabon",95
"68","Gambia",141.5
"69","Georgia",109
"70","Germany",37
"71","Ghana",141.5
"72","Greece",71
"73","Greenland",75
"74","Grenada",97
"75","Guam",15
"76","Guatemala",103.5
"77","Guinea",193
"78","Guinea-Bissau",191
"79","Guyana",135
"80","Haiti",176.5
"81","Honduras",129
"82","Hong Kong SAR, China",3
"83","Hungary",45.5
"84","Iceland",39
"85","India",158.5
"86","Indonesia",122
"87","Iran",138.5
"88","Iraq",158.5
"89","Ireland",60
"90","Israel",43.5
"91","Italy",27.5
"92","Jamaica",112.5
"93","Japan",52
"94","Jordan",79.5
"95","Kazakhstan",37
"96","Kenya",140
"97","Kiribati",187.5
"98","Korea, Dem. Rep.",206.5
"99","Kuwait",7.5
"100","Kyrgyzstan",108
"101","Lao PDR",166
"102","Latvia",40
"103","Lebanon",110
"104","Lesotho",170.5
"105","Liberia",185
"106","Libya",83.5
"107","Liechtenstein",59
"108","Lithuania",18
"109","Luxembourg",2
"110","Macao SAR, China",14
"111","Macedonia",83.5
"112","Madagascar",195
"113","Malawi",196.5
"114","Malaysia",34
"115","Maldives",56.5
"116","Mali",157
"117","Malta",43.5
"118","Marshall Islands",179
"119","Mauritania",154.5
"120","Mauritius",97
"121","Mexico",126
"122","Micronesia",167
"123","Moldova",117
"124","Monaco",76.5
"125","Mongolia",120
"126","Montenegro",32
"127","Morocco",65.5
"128","Mozambique",190
"129","Myanmar",205
"130","Namibia",130
"131","Nepal",169
"132","Netherlands",21.5
"133","New Caledonia",105
"134","New Zealand",56.5
"135","Nicaragua",137
"136","Niger",200.5
"137","Nigeria",138.5
"138","Norway",21.5
"139","Oman",27.5
"140","Pacific island small states",148.5
"141","Pakistan",168
"142","Palau",72
"143","Panama",50
"144","Papua New Guinea",192
"145","Paraguay",123
"146","Peru",115
"147","Philippines",119
"148","Poland",32
"149","Portugal",65.5
"150","Puerto Rico",103.5
"151","Qatar",20
"152","Republic of Congo",146.5
"153","Romania",101
"154","Russia",30
"155","Rwanda",180.5
"156","Samoa",172.5
"157","San Marino",81
"158","Sao Tome and Principe",151
"159","Saudi Arabia",25.5
"160","Senegal",154.5
"161","Serbia",69.5
"162","Seychelles",58
"163","Sierra Leone",196.5
"164","Singapore",11.5
"165","Slovakia",53
"166","Slovenia",67
"167","Solomon Islands",182
"168","Somalia",202
"169","South Africa",73
"170","South Korea",50
"171","South Sudan",183
"172","Spain",61
"173","Sri Lanka",133
"174","St. Kitts and Nevis",25.5
"175","St. Lucia",86
"176","St. Vincent and the Grenadines",78
"177","Sudan",150
"178","Suriname",83.5
"179","Swaziland",148.5
"180","Sweden",17
"181","Switzerland",11.5
"182","Syria",152
"183","Tajikistan",144
"184","Tanzania",184
"185","Thailand",93
"186","Timor-Leste",194
"187","Togo",187.5
"188","Tonga",154.5
"189","Trinidad and Tobago",37
"190","Tunisia",87
"191","Turkey",118
"192","Turkmenistan",136
"193","Tuvalu",164.5
"194","Uganda",172.5
"195","Ukraine",79.5
"196","United Arab Emirates",5
"197","United Kingdom",19
"198","United States of America",74
"199","Uruguay",41
"200","Uzbekistan",132
"201","Vanuatu",170.5
"202","Venezuela",107
"203","Vietnam",63.5
"204","Virgin Islands (U.S.)",42
"205","Yemen",160
"206","Zambia",162.5
"207","Zimbabwe",145
