"","CountryName","rank_eng1","rank_eng2","score_edu","finalrank_edu"
"1","Azerbaijan",3,4,3.5,2.5
"2","Honduras",84,79,81.5,81
"3","Oman",44,69,56.5,55
"4","Paraguay",57,53,55,53
"5","Qatar",55,35,45,46
"6","Angola",114,103,108.5,109
"7","Argentina",34,32,33,27.5
"8","Bangladesh",108,113,110.5,110
"9","Bosnia and Herzegovina",23,29,26,23
"10","Botswana",74,78,76,76
"11","Brazil",54,72,63,66.5
"12","Chad",121,122,121.5,120.5
"13","Comoros",96,95,95.5,93.5
"14","Dominican Republic",76,74,75,74
"15","Ecuador",59,65,62,65
"16","Egypt, Arab Rep.",87,97,92,90.5
"17","El Salvador",78,80,79,79.5
"18","Equatorial Guinea",65,50,57.5,57.5
"19","Eritrea",89,100,94.5,92
"20","Gambia, The",118,118,118,117
"21","Georgia",18,8,13,12.5
"22","Greece",31,37,34,30.5
"23","Guatemala",88,94,91,89
"24","Guinea-Bissau",113,116,114.5,115
"25","Hungary",51,20,35.5,33
"26","Iraq",106,92,99,97
"27","Italy",7,19,13,12.5
"28","Jamaica",81,77,79,79.5
"29","Kuwait",40,47,43.5,45
"30","Libya",6,75,40.5,41.5
"31","Macedonia, FYR",58,36,47,48
"32","Mexico",60,59,59.5,60
"33","Moldova",1,17,9,8
"34","Myanmar",80,68,74,73
"35","New Caledonia",25,42,33.5,29
"36","Palau",17,14,15.5,16
"37","Papua New Guinea",117,110,113.5,113
"38","Poland",2,5,3.5,2.5
"39","Saudi Arabia",38,57,47.5,49
"40","Senegal",120,120,120,119
"41","Sierra Leone",119,119,119,118
"42","Singapore",8,43,25.5,22
"43","Slovenia",11,11,11,10.5
"44","Spain",24,31,27.5,24
"45","Sudan",93,99,96,95
"46","Syrian Arab Republic",83,81,82,82
"47","Tajikistan",10,7,8.5,7
"48","Trinidad and Tobago",27,23,25,21
"49","Turkey",37,48,42.5,44
"50","Turkmenistan",15,13,14,14
"51","Ukraine",19,10,14.5,15
"52","Uruguay",48,27,37.5,36
"53","Uzbekistan",5,15,10,9
"54","Vanuatu",85,83,84,84
"55","Yemen, Rep.",94,107,100.5,100.5
"56","Albania",36,39,37.5,36
"57","Austria",71,NA,NA,127
"58","Bolivia",45,56,50.5,51
"59","Cabo Verde",69,82,75.5,75
"60","Congo, Dem. Rep.",103,98,100.5,100.5
"61","Cote d'Ivoire",122,121,121.5,120.5
"62","Cuba",9,6,7.5,5
"63","Gabon",92,88,90,88
"64","Iran, Islamic Rep.",70,84,77,78
"65","Jordan",43,34,38.5,38.5
"66","Niger",127,127,127,126
"67","Pakistan",115,117,116,116
"68","Peru",56,61,58.5,59
"69","Rwanda",105,106,105.5,104
"70","South Africa",49,62,55.5,54
"71","Tanzania",98,93,95.5,93.5
"72","Uganda",102,104,103,103
"73","Afghanistan",124,125,124.5,124
"74","Armenia",13,9,11,10.5
"75","Brunei Darussalam",32,45,38.5,38.5
"76","Bulgaria",72,28,50,50
"77","Chile",30,41,35.5,33
"78","Colombia",64,63,63.5,68
"79","Congo, Rep.",109,91,100,98.5
"80","Costa Rica",42,38,40,40
"81","Croatia",20,18,19,18
"82","Cyprus",16,24,20,19
"83","Estonia",4,2,3,1
"84","India",97,105,101,102
"85","Indonesia",53,67,60,61.5
"86","Latvia",14,1,7.5,5
"87","Lithuania",12,3,7.5,5
"88","Macao SAR, China",22,46,34,30.5
"89","Mali",123,124,123.5,122
"90","Malta",50,64,57,56
"91","Mauritius",68,76,72,72
"92","Montenegro",39,26,32.5,26
"93","Morocco",107,108,107.5,107.5
"94","Nepal",101,114,107.5,107.5
"95","Portugal",29,55,42,43
"96","Romania",46,25,35.5,33
"97","Samoa",35,21,28,25
"98","Serbia",33,33,33,27.5
"99","Togo",111,112,111.5,111
"100","Tonga",28,16,22,20
"101","Tunisia",77,90,83.5,83
"102","Venezuela, RB",75,51,63,66.5
"103","Zimbabwe",91,85,88,86.5
"104","Aruba",41,40,40.5,41.5
"105","Bahrain",66,54,60,61.5
"106","Cameroon",110,102,106,105
"107","Caribbean small states",82,71,76.5,77
"108","Central African Republic",125,123,124,123
"109","China",26,49,37.5,36
"110","Ghana",99,101,100,98.5
"111","Guinea",126,126,126,125
"112","Malawi",116,111,113.5,113
"113","Malaysia",62,66,64,69
"114","Middle income",90,86,88,86.5
"115","Mongolia",61,30,45.5,47
"116","Other small states",100,96,98,96
"117","Panama",73,58,65.5,70
"118","Puerto Rico",52,70,61,63
"119","Russian Federation",21,12,16.5,17
"120","Seychelles",47,60,53.5,52
"121","Small states",95,89,92,90.5
"122","South Asia",104,109,106.5,106
"123","Sri Lanka",67,73,70,71
"124","Suriname",63,52,57.5,57.5
"125","Swaziland",86,87,86.5,85
"126","Thailand",79,44,61.5,64
"127","Timor-Leste",112,115,113.5,113
